# CRM04 PLANT TAG MAPPING - plant (ABB MillPilot) address -> twin tag.
#
# THIS FILE IS THE CONTRACT between the mill's OPC-UA address space and the twin's
# tag catalogue. It is data, not code, so automation can review and correct it
# without a .NET toolchain.
#
# Columns
#   PlantAddress  MillPilot application path exactly as the gateway exposes it.
#   TwinTag       Tag name in the twin catalogue (see dotnet/db/seed/tag_definitions.sql).
#                 LEAVE EMPTY to ingest nothing - the tag is then ABSENT from the frame,
#                 which renders as NO TAG. That is the honest outcome and is never the
#                 same as a value of zero (see Sec 7.4).
#   PlantUnit     Unit on the plant side.
#   TwinUnit      Unit the catalogue declares.
#   Scale/Offset  twin = plant * Scale + Offset. Applied to NUMBER rows only.
#   Kind          NUMBER | BOOLEAN | STRING. Decides which TagValue factory is used.
#   Confidence    OK      mapping is unambiguous
#                 REVIEW  mapped, but CONFIRM WITH AUTOMATION before trusting it
#                 NEW     no twin tag exists yet; ignored until one is added
#   Notes         why, for anything not obvious.
#
# HOW TO USE: confirm every REVIEW row with mill automation, fill in the blanks the
# NEW rows need, and only then change liveAvailability in src/data/tagDefinitions.ts.
#
PlantAddress,TwinTag,PlantUnit,TwinUnit,Scale,Offset,Kind,Confidence,Notes
Applications.MillPilotDrives.PilotCtrl.PilotCtrlA100.Pil.LineNormalStop,,,,1,0,BOOLEAN,NEW,"No twin tag for normal stop"
Applications.MillPilotDrives.PilotCtrl.PilotCtrlA100.MfToPilBit.RelThreading,MILL.INTERLOCK,,,1,0,BOOLEAN,REVIEW,"RelThreading reads as threading release not a mill-ready interlock"
#
# ------------------------------------------------------ Distance/time counters
Applications.MillPilotDrives.PilotCtrl.Rgn.RgnPar.Rgn.Asd.DistToSlow,,m,,1,0,NUMBER,NEW,
Applications.MillPilotDrives.PilotCtrl.Rgn.RgnData.Asd.TimeToSlow,,s,,1,0,NUMBER,NEW,
Applications.MillPilotDrives.PilotCtrl.Rgn.RgnPar.Rgn.Asd.DistToStop,,m,,1,0,NUMBER,NEW,
Applications.MillPilotDrives.PilotCtrl.Rgn.RgnPar.Rgn.Asd.TimeToStop,,s,,1,0,NUMBER,NEW,
#
# =====================================================================
# THE DTR / ETR INVERSION - READ BEFORE TRUSTING ANY TENSION ROW
#
# The twin contradicts itself and this file follows the UI, not the catalogue:
#
#   tag_definitions.sql  DTR.* = "Decoiler / ENTRY tension reel"
#                        ETR.* = "EXIT tension reel"
#   TwinCanvas.razor     DTR   = "Delivery tension reel"
#                        ETR   = "Entry tension reel"
#   schematic            POR -> ETR -> 4HI MILL -> DTR   (DTR is delivery)
#
# This file assumes Tr1 = ETR = entry and Tr2 = DTR = delivery, matching the UI
# and your plant document. If the catalogue descriptions are the correct ones
# instead, every Tr1/Tr2 row here is inverted and entry/exit tensions will land
# on opposite reels while looking entirely plausible. Settle it first.
# =====================================================================
